shine_coverage,shine_intensity,body_color_b,body_L,lbp_texture_score,canny_edge_density,mean_saturation,hue_mean,redness_purity,brown_dominance,quality
0.04,232.47,-1.104,52.38,634,0.087,53.12,4.35,149.19,0.216,2
0.053,242.09,-10.502,51.53,1141,0.075,32,4.97,180.28,0.061,0
0.013,236.43,-12.365,53.24,1404,0.142,33.97,5.79,159.59,0.093,0
0.021,242.67,-8.989,54.16,1350,0.109,37.54,1.26,157.24,0.02,0
0.029,232.78,-10.555,58.11,1349,0.079,30.85,4,178.49,0.057,0
0.025,240.49,-8.395,59.03,1326,0.117,33.86,6.02,168.91,0.025,0
0.028,233.12,-2.584,63.47,1412,0.102,41.25,177.62,207.63,0,0
0.082,235.17,0.159,66.92,411,0.114,35.48,178.22,174.25,0.001,0
0.081,238.34,-8.825,72.43,902,0.065,27.99,1.64,166.27,0.004,0
0.053,230.75,-0.788,69.81,1278,0.122,45.33,178.86,173.06,0.003,0
0.055,237.15,-2.561,66.73,1181,0.102,17.5,5.53,190.18,0.018,0
0.154,240.16,-0.223,63.48,938,0.079,37.02,178.42,142.12,0,0
0.081,236.09,-6.565,58.7,777,0.086,24.41,2.01,170.75,0.009,0
0.103,240.35,-4.817,55.15,1329,0.09,26.62,178.79,166.49,0,0
0.02,238.75,0.066,65.32,712,0.083,40.2,179.42,181.53,0,0
0.05,232.86,-1.179,70.56,461,0.097,39.07,178.73,190.5,0,0
0.111,240.05,-0.565,66.51,756,0.104,21.33,0.27,164.03,0.004,0
0.139,241.86,-1.434,67.52,551,0.106,12.56,179.32,191.58,0.005,0
0.151,235.09,2.725,66.7,1318,0.106,39.9,2.83,182.52,0.162,0
0.14,235.72,2.538,64.71,1529,0.116,25.24,3.15,159.26,0.17,0
0.178,240.33,2.939,73.4,78,0.151,18.46,178.11,170.97,0.001,0
0.137,239.47,1.312,70.93,744,0.107,17.53,1.71,154.4,0.046,0
0.168,237.53,-1.27,70.62,971,0.11,14.85,0.19,163.08,0.015,0
0.097,242.39,-4.458,67.2,1195,0.109,15.35,3.08,143.31,0.115,0
0.112,242.23,-4.1,66.5,1602,0.089,19.45,1.25,164.13,0.026,0
0.129,236.09,-4.255,68.38,1132,0.09,23.57,1.88,147.54,0.09,0
0.157,235.23,-0.443,75.09,704,0.154,23.47,179.31,139.7,0.001,0
0.159,238.96,-0.456,71.74,1371,0.131,21.94,177.58,145.71,0.065,0
0.191,239.19,-0.675,76.76,546,0.153,19.94,178.55,136.85,0.011,0
0.221,242.25,-2.847,76.1,610,0.151,18.92,0.21,164.32,0.045,0
0.172,238.33,-0.997,74.91,1396,0.115,20.39,177.34,150.79,0,0
0.171,242.5,-2.829,75.57,805,0.149,17.6,0.82,183.43,0.032,0
0.152,241.18,-1.45,75.37,1092,0.087,13.48,179.33,150.63,0.024,0
0.167,232.62,-0.381,72.29,1232,0.123,21.35,0.91,156.27,0.128,0
0.167,237.86,0.849,74.19,1449,0.142,15.42,177.38,152.42,0.002,0
0.147,243.7,-3.931,76.72,653,0.126,14.23,179.37,167.54,0.011,0
0.18,240.15,-4.231,63.32,1468,0.114,30.4,3.54,136.39,0.125,0
0.102,240.03,-1.746,62.08,1328,0.119,20.59,3.69,135.21,0.064,0
0.117,242.85,-1.31,60.58,1178,0.103,25.34,3.23,150.01,0.03,0
0.134,241.81,-0.503,62.61,1579,0.099,27.6,3.37,155.73,0.059,0
0.101,242.13,-0.961,58.91,1475,0.102,23.63,4.21,130.01,0.039,0
0.038,241.7,-6.085,64.05,1162,0.097,27.22,6.63,182.42,0.067,0
0.109,240.42,-3.903,62.92,1251,0.118,19.63,4.21,143.18,0.078,0
0.026,237.94,-9.159,67.51,1556,0.093,35.05,7.19,186.73,0.091,0
0.02,245.37,-10.554,66.18,917,0.087,33.54,5.37,179.87,0.043,0
0.029,241.5,-5.049,60.06,334,0.101,39.71,3.36,184.04,0.004,0
0.117,236.63,-6.093,59.04,1185,0.072,30.97,2.04,167.31,0.008,0
0.01,231.52,-7.731,56.93,1297,0.119,22.9,5.1,174.34,0.089,0
0.081,230.95,0.497,68.54,1385,0.073,20.34,0.39,164.94,0,0
0.08,231.94,-0.821,65.32,1065,0.121,17.51,179.87,161.29,0,0
0.037,237.87,6.22,78.73,1422,0.049,22.07,0.51,170.61,0,0
0.042,223.58,7.493,64.02,1301,0.092,35.41,3.79,193.8,0,0
0.096,241.02,-7.918,69.72,566,0.084,32.87,176.9,148.86,0.006,0
0.135,231.91,-1.685,74.9,79,0.136,58.35,179.31,182.48,0.002,0
0.104,238.35,-0.763,70.35,49,0.11,38.67,2.87,158.73,0.042,0
0.071,238.81,2.457,67.62,862,0.079,34.97,2.32,156.4,0.003,0
0.079,230.11,0.612,73.61,1293,0.091,16.44,0.91,152.22,0.026,0
0.048,231.34,-3.646,73.02,1584,0.12,32.95,1.76,137.89,0.052,0
0.042,231.71,-1.78,59.78,599,0.107,38.76,0.72,147.46,0.013,0
0.069,230.05,-1.812,72.97,965,0.084,26.27,2.12,161.32,0.054,0
0.068,232.5,0.451,72.73,1016,0.098,15.89,2.81,147.8,0.049,0
0.076,231.42,-2.457,70.9,1093,0.092,17.95,1.44,136.3,0.018,0
0.07,231.78,-3.559,69.81,381,0.095,24.12,1.46,150.96,0.042,0
0.03,242.77,-0.276,72.38,949,0.102,23.04,1.78,169.35,0.023,0
0.075,231.93,1.599,71.93,1382,0.098,27.66,1.99,148.54,0.033,0
0.066,234.7,2.764,74.19,1540,0.1,20.33,0.08,142.82,0.001,0
0.059,230,0.212,68.49,1056,0.112,15.08,2.99,147.74,0.093,0
0.081,232.09,2.796,70.99,391,0.14,18.26,2.61,158.67,0.074,0
0.014,246.2,-1,64.17,1095,0.1,31.22,178.88,182.05,0,0
0.015,239.45,0.876,73.65,305,0.103,17.98,1.01,166.38,0.006,0
0.044,234.76,2.911,67.53,935,0.096,21.51,1.04,173.81,0,0
0.01,236.84,-5.298,40.81,457,0.089,39.09,180,164.74,0.001,0
0.021,245.57,-4.942,53.81,538,0.104,38.62,178.72,159.51,0.003,0
0.015,245.12,-5.449,50.32,398,0.08,47.36,178.85,162.01,0.001,0
0.009,240.59,-3.109,49.79,229,0.137,46.93,177.89,159.55,0,0
0.009,244.09,-4.269,51.51,176,0.133,56.54,178.11,171.18,0.004,0
0.011,240.73,-3.929,51.95,141,0.105,45.55,178.63,165.75,0.011,0
0.02,239.21,1.798,42.01,97,0.098,65.9,179.11,182.99,0,0
0.03,244.38,14.035,46.76,165,0.121,86.53,177.62,153.59,0.021,0
0.012,243,-17.009,30.37,1250,0.135,86.28,0.27,170.04,0.02,0
0.015,236.52,-2.93,43.85,127,0.134,8.63,5.12,150.1,0.093,0
0.043,232.17,-1.975,46.07,27,0.144,31.86,179.22,160.8,0.001,0
0.016,236.12,1.252,55.68,103,0.077,28.89,0.93,174.71,0.012,0
