spec,loc,num,species,hue_mean,redness_purity,brightness_mean,brown_dominance,color_cov,red_intensity,red_coverage,eye_cloudiness,shine_coverage,shine_intensity,body_color_b,quality
BANG,CFM,28,0,177.95,128.86,101.37,0.0004,0.282,0.0543,0.0002,0.8675,0.0768,238.89,-2.3592,1
BANG,CFM,36,0,178.86,153.5,70.28,0.0059,0.1572,-0.001,0,0.9835,0.0433,229.21,0.4032,1
BANG,CFM,41,0,1.13,143.19,76.37,0.1268,0.211,-0.0185,0,0.8832,0.0761,236.23,8.5692,1
BANG,CFM,57,0,179.23,176.75,63.86,0.0001,0.103,-0.0245,0.0002,1.0123,0.0049,223.44,0.4964,1
BANG,PWM,6,0,3.69,135.21,67.46,0.0638,0.1946,0.0999,0,0.8369,0.1015,240.03,-1.746,1
BANG,PWM,7,0,7.42,153.54,74.55,0.2436,0.1483,0.0295,0,0.657,0.0984,239.5,-0.3101,1
BANG,PWM,39,0,8.24,183.01,80.97,0.2936,0.2646,-0.0209,0,0.7007,0.0514,236.36,-4.6186,1
BANG,PWM,48,0,5.8,196.45,87.2,0.1308,0.1638,0.0155,0,0.9033,0.0052,229.57,-6.907,1
BANG,PWM,60,0,2.62,158.51,62.07,0.0953,0.249,0.0041,0,0.8277,0.0392,228.42,-4.6486,1
CARP,NFP,4,1,2.32,156.4,92.47,0.0027,0.2416,0.3932,0.01,0.7108,0.071,238.81,2.4573,1
CARP,NFP,29,1,2.99,147.74,102.25,0.0932,0.2309,0.0292,0,0.9625,0.0593,230,0.2122,1
TILA,BWM,9,2,178.74,154.97,96.73,0.0013,0.1769,0.0965,0.0002,1.4864,0.0023,223.78,-11.7923,1
TILA,BWM,28,2,178.57,133.51,154.81,0.0036,0.2103,0.2249,0.004,0.9738,0.0244,224.04,-1.5396,1
TILA,CFM,7,2,178.69,166.36,82.85,0.0005,0.1695,0.1772,0.0041,1.2781,0.0091,233.92,-1.658,1
TILA,CFM,9,2,0.97,186.82,82.13,0.0112,0.1469,0.2179,0.0069,1.2707,0.0099,233.27,1.8057,1
TILA,CFM,32,2,177.28,150.34,77.01,0.0077,0.1862,0.1357,0.005,0.7578,0.0028,235.44,11.8276,1
TILA,CFM,34,2,179.84,160.85,85.84,0.0162,0.2398,0.1295,0.0052,1.1755,0.005,241.64,4.0716,1
TILA,CFM,38,2,179.72,138.66,93.87,0.0026,0.24,0.2566,0.0002,1.0806,0.0123,236.45,-1.6852,1
TILA,NFP,7,2,3.78,154.67,113.31,0.1414,0.2276,0.1091,0,1.2822,0.0069,245.73,-11.0903,1
TILA,NFP,26,2,3.45,128.62,111.91,0.0697,0.2579,0.0323,0.0016,0.9229,0.007,243.41,2.6571,1
TILA,NFP,29,2,5.22,166.12,106.27,0.2034,0.2131,0.1265,0.0023,0.7295,0.007,242.46,3.0351,1
TILA,PWM,13,2,6.14,152.55,102.84,0.063,0.1901,0.0578,0.0024,0.9127,0.0072,234.59,-0.8647,1
TILA,PWM,19,2,7.01,169.51,127.29,0.037,0.1483,0.0665,0,1.2204,0.008,232.7,-0.569,1
TILA,PWM,20,2,4.79,150.9,91.16,0.145,0.1943,0.0693,0.0005,0.9963,0.0093,233.74,-3.5305,1
TILA,PWM,38,2,1.45,163.64,144.73,0.0098,0.1839,0.2761,0.0098,0.8361,0.0094,239.45,-1.8636,1
TILA,PWM,43,2,1.51,160.96,150.24,0.0458,0.214,0.2629,0.01,0.7865,0.0101,242.68,-1.6256,1
BANG,BWM,10,0,6.02,168.91,130.12,0.0251,0.2257,0.096,0,0.987,0.0255,240.49,-8.3952,1
BANG,BWM,19,0,2.61,152.55,103.44,0.0238,0.2504,0.0428,0,0.8656,0.0694,234.08,2.9801,1
BANG,BWM,28,0,5.53,190.18,79.6,0.0183,0.1575,0.1361,0,1.0589,0.0547,237.15,-2.5606,1
BANG,CFM,12,0,1.26,153.57,66.22,0.0226,0.2362,0.1761,0,0.8358,0.0891,234.29,2.5837,1
BANG,CFM,29,0,4.66,133.79,115.94,0.0046,0.2003,-0.0247,0,0.915,0.0639,234.03,-3.0887,1
BANG,CFM,52,0,0.75,156.53,63.83,0.0201,0.1534,0.1114,0.0004,0.8929,0.0343,224.81,-7.3517,1
BANG,PWM,29,0,6.49,156.51,94.49,0.1298,0.207,0.0393,0,0.7553,0.0373,237.25,-3.086,1
BANG,PWM,49,0,5.1,174.34,84.74,0.0889,0.1706,0.0083,0,0.9857,0.0098,231.52,-7.7315,1
BANG,PWM,55,0,3.67,155,80.76,0.1508,0.2521,0.0336,0,0.7242,0.0379,232.16,-3.6352,1
CARP,NFP,30,1,2.33,139.1,128.76,0.0145,0.2376,0.0263,0,0.9766,0.0365,230.74,0.5023,1
TILA,CFM,12,2,0.08,136.21,116.74,0.0066,0.3307,0.0972,0.0045,1.2522,0.0103,247.58,2.6487,1
TILA,CFM,21,2,177.98,120.97,130.07,0.0014,0.2329,0.0376,0.0001,1.3768,0.0196,234.8,10.7389,1
TILA,CFM,27,2,177.85,146.4,91.62,0.0009,0.2318,0.2398,0.0061,1.0466,0.011,242.24,-5.0658,1
TILA,PWM,6,2,3.71,161.98,81.88,0.1228,0.201,0.0364,0.0014,1.1792,0.0082,230.33,-0.8071,1
TILA,PWM,17,2,5.12,150.1,109.67,0.0928,0.2041,0.0028,0,1.4593,0.015,236.52,-2.9297,1
TILA,PWM,21,2,3.22,137.1,79.18,0.0708,0.2351,0.0149,0,1.1307,0.0075,229.35,-2.04,1
BANG,CFM,1,0,179.95,111.33,94.78,0,0.2532,0.0587,0,0.8967,0.1006,234.8,0.6336,1
BANG,CFM,16,0,179.42,163.56,90.33,0.0143,0.1427,-0.0018,0,1.0917,0.0043,231.01,1.0627,1
BANG,CFM,22,0,179.87,147.99,98.73,0.0041,0.2321,0.0967,0,0.9662,0.069,229.67,0.7492,1
BANG,CFM,35,0,2.01,146.88,73.69,0,0.1439,0.0012,0,0.9431,0.0276,231.62,12.6618,1
BANG,CFM,54,0,3.45,157.62,43.07,0,0.1453,0.0781,0.0001,0.876,0.0454,225.52,-3.5243,1
BANG,NFP,29,0,7.18,82.94,132.62,0.1261,0.1362,0.046,0,0.5452,0.1353,237.37,-0.8693,1
BANG,PWM,24,0,3.12,127.78,80.12,0.0469,0.2241,0.0818,0,0.8608,0.0595,237.82,-5.4878,1
CARP,NFP,13,1,4.98,154.46,158.53,0.1586,0.2581,0.2907,0.0022,0.8005,0.0898,226.62,-1.9461,1
CARP,PWM,1,1,2.91,147.72,99.1,0.0426,0.2681,0.1677,0,0.8063,0.0327,229.19,2.9752,1
TILA,BWM,8,2,177.66,167.79,128.85,0.0005,0.2036,0.1994,0.0031,1.7351,0.0134,229.66,-9.0116,1
TILA,CFM,20,2,1.07,143.49,111.64,0.0709,0.2452,0.2029,0.0085,0.9215,0.015,240.8,2.6379,1
TILA,CFM,41,2,176.36,152.53,90.38,0.0105,0.2098,0.1396,0.0049,1.1475,0.0121,240.7,9.811,1
TILA,CFM,43,2,177.68,146.12,93.75,0.0074,0.214,0.2419,0.0098,0.9902,0.025,239.15,11.5415,1
TILA,NFP,3,2,4.08,136.25,128.02,0.2356,0.224,0.1108,0.0046,0.7053,0.019,240.56,5.6908,1
TILA,PWM,3,2,6.41,157.18,119.57,0.0419,0.1483,0.2336,0,0.9859,0.0117,230.39,-1.7562,1
TILA,PWM,46,2,2.85,147.84,173.94,0.0867,0.2516,0.1477,0.0072,1.0241,0.011,243.12,-2.1074,1
TILA,PWM,57,2,4.35,149.19,153.13,0.2156,0.3267,0.1821,0.0067,0.8236,0.0402,232.47,-1.1036,1
BANG,BWM,4,0,5.79,159.59,95.02,0.0926,0.2372,-0.0396,0,1.1015,0.0128,236.43,-12.3647,1
BANG,BWM,30,0,5.21,178.47,86.59,0.0478,0.2288,0.0587,0,1.0545,0.0493,232.05,-2.9264,1
BANG,CFM,17,0,179.06,164.83,85.63,0.0016,0.1677,0.0438,0.0002,1.2196,0.0064,230.76,-1.3069,1
BANG,CFM,23,0,0.07,148.76,117.68,0.0005,0.2492,0.0917,0.0002,0.9095,0.0265,232.38,1.7123,1
BANG,CFM,30,0,179.09,135.17,104.17,0,0.2346,0.0277,0,1.0205,0.0318,234.54,-0.1258,1
BANG,CFM,53,0,2.05,151.88,75.48,0.0368,0.2286,0.0002,0,1.0142,0.0239,228.14,-4.1856,1
BANG,PWM,3,0,3.05,110.18,81.03,0.1379,0.1966,0.1029,0,0.863,0.1389,238.38,-3.3937,1
BANG,PWM,11,0,6.23,146.51,69.42,0.0876,0.1398,0.0526,0,0.7506,0.0415,232.6,-2.0581,1
BANG,PWM,47,0,9.73,176.08,95.55,0.2904,0.1647,-0.1146,0,0.8483,0.0248,229.02,-8.9435,1
TILA,BWM,3,2,178.63,117.88,153.13,0.0132,0.2218,0.2223,0.0074,0.9751,0.0041,240.04,-15.1125,1
TILA,CFM,1,2,1.73,140.23,113.39,0.0019,0.4043,0.1433,0.0038,0.918,0.0097,233.45,2.274,1
TILA,CFM,6,2,1.73,163.81,64.79,0.0004,0.1813,0.3048,0.0086,1.0178,0.013,236.93,-0.1176,1
TILA,CFM,13,2,177.59,150.59,115.72,0,0.2192,0.1732,0.0067,1.022,0.0073,235.93,2.0611,1
TILA,CFM,25,2,178.82,126.28,83.69,0.005,0.3053,-0.0029,0.0007,1.5576,0.0189,231.24,7.2462,1
TILA,CFM,54,2,178.89,164.07,105.11,0,0.1406,0.3469,0.0112,0.9312,0.0086,240.13,-0.8257,1
TILA,NFP,23,2,175.43,125.27,144,0.0001,0.2668,0.1476,0.0056,0.6244,0.0082,240.22,4.2368,1
TILA,NFP,24,2,2.39,149.9,129.94,0.1843,0.4575,0.0703,0.0031,0.9877,0.0128,239.06,2.89,1
TILA,PWM,1,2,1.49,108.51,76.79,0.1192,0.2292,0.144,0.001,1.0075,0.0179,236.17,-1.5047,1
TILA,PWM,18,2,4.52,147.62,81.28,0.1714,0.1724,0.0288,0.0003,1.3717,0.0114,238.14,-0.9745,1
TILA,PWM,22,2,6.37,158.54,106.86,0.0643,0.171,0.0254,0.0002,1.4469,0.0091,232.35,-0.5653,1
TILA,PWM,53,2,1.61,146.97,155.03,0.0395,0.2899,0.2934,0.0092,0.8936,0.0162,240.74,-2.0704,1
BANG,BWM,3,0,7.35,179.55,88.44,0.1353,0.2459,0.0282,0.0001,1.0096,0.0101,234.24,-10.3087,1
BANG,CFM,24,0,178.46,151.05,84.07,0.0061,0.1906,0.1098,0,0.8863,0.0234,229.72,3.2467,1
BANG,CFM,31,0,178.44,140.88,55.68,0,0.1922,-0.0044,0,0.905,0.0112,227.91,9.5664,1
BANG,CFM,34,0,177.2,125.04,52.47,0,0.2026,0.0012,0,0.8817,0.045,232.22,10.6222,1
BANG,CFM,46,0,2.3,129.91,55.37,0.0965,0.2325,-0.0202,0,0.8424,0.0585,231.41,4.8617,1
CARP,NFP,12,1,2.69,148.33,100.25,0.1047,0.3417,0.2854,0.0085,0.6552,0.0519,232.43,0.9267,1
TILA,BWM,20,2,179.39,115,119.23,0.0001,0.3558,0.1943,0.0052,0.9436,0.0235,222.35,-2.924,1
TILA,CFM,15,2,177.39,165.73,90.47,0.0026,0.152,0.2613,0.0098,0.9422,0.0044,239.72,2.3248,1
TILA,CFM,31,2,179.08,135.2,111.16,0.0087,0.2278,0.1351,0.007,1.0922,0.0141,229.95,8.8276,1
TILA,CFM,37,2,0.16,141.89,80.61,0.0063,0.2181,0.3217,0.012,0.9906,0.0199,237.47,-4.1829,1
TILA,NFP,5,2,177.92,138.91,89.32,0.0483,0.2694,0.3596,0.004,1.0571,0.0047,245.66,-16.5808,1
TILA,NFP,19,2,6.8,146.17,109.88,0.3441,0.3993,-0.0352,0.0029,0.7529,0.0182,243.6,2.0297,1
TILA,PWM,11,2,6.12,136.43,110.71,0.0747,0.2086,0.0554,0,1.2066,0.011,230.29,-5.5635,1
TILA,PWM,15,2,5.38,154.9,111.56,0.097,0.1733,0.1099,0.0013,1.1655,0.0079,232.32,0.8477,1
BANG,BWM,23,0,4.2,176.57,95.42,0.0667,0.2893,0.0315,0.0001,0.9612,0.0184,224.2,-2.568,1
BANG,CFM,5,0,1.86,144.35,87.22,0.1473,0.3368,0.0539,0,0.9198,0.0403,231.08,-5.7636,1
BANG,CFM,21,0,179.86,146.28,94.2,0,0.225,0.1413,0.0008,0.8105,0.0392,228.3,-0.4327,1
BANG,NFP,3,0,6.18,179.56,80.02,0.3972,0.3634,-0.0863,0,0.9986,0.1143,235.9,-2.0362,1
BANG,PWM,16,0,6.24,144.09,70.31,0.2746,0.2525,0.101,0.0003,0.7746,0.1422,240.45,-2.0196,1
BANG,PWM,52,0,8.77,200.17,100.52,0.2568,0.1829,0.0837,0,0.8169,0.0083,234.16,-7.6138,1
BANG,PWM,57,0,7.55,173.92,115.63,0.3271,0.2326,-0.0722,0,0.8768,0.0521,232.23,-2.7749,1
CARP,NFP,5,1,2.64,139.95,131.77,0.0966,0.3087,0.6415,0.0233,0.5731,0.0867,234.58,-1.0862,1
CARP,PWM,2,1,7.18,152.59,154.93,0.1369,0.2019,0.0406,0.0002,0.9542,0.0621,233.96,4.6036,1
CARP,PWM,7,1,8.09,154.62,87.63,0.3001,0.2127,0.1063,0.0007,0.7481,0.0691,234.35,3.9718,1
CARP,PWM,10,1,5.41,169.82,102.45,0.0862,0.1773,0.2415,0.0031,0.9217,0.0462,235.96,3.5268,1
TILA,BWM,4,2,1.27,161.91,116.13,0.0629,0.167,0.2354,0.0101,1.3967,0.0207,225.38,-10.8141,1
TILA,BWM,21,2,177.81,126.36,122.22,0.0005,0.2196,0.2327,0.0041,1.0916,0.0084,238.86,-3.7033,1
TILA,BWM,22,2,176.13,142.47,134.13,0.0004,0.1898,0.1546,0.0061,1.1376,0.0083,232.25,-3.9052,1
TILA,BWM,23,2,179.32,142.6,162.3,0.0047,0.314,0.2143,0.0076,1.2102,0.0101,238.84,-2.8801,1
TILA,CFM,55,2,177.46,146.2,107.79,0.0001,0.1729,0.2096,0.0057,1.1234,0.0083,236.28,7.2449,1
TILA,NFP,6,2,2.15,176.37,110.19,0.0895,0.298,0.7691,0.0283,0.9546,0.0074,246.51,-27.303,1
TILA,PWM,4,2,7.69,157.14,82.73,0.2541,0.1825,0.1067,0,0.7211,0.0071,229.24,-0.68,1
BANG,CFM,33,0,179.94,141.93,74.05,0.0501,0.1779,0.0125,0,1.0556,0.0079,232.59,7.1136,1
BANG,CFM,38,0,179.38,145.31,76.21,0,0.2137,0.0876,0.0002,0.9171,0.0181,226.95,4.2942,1
BANG,NFP,9,0,3.15,159.26,80.68,0.1698,0.3546,-0.0482,0.0028,0.8099,0.1403,235.72,2.5375,1
BANG,PWM,2,0,3.62,116.67,86.72,0.2809,0.2323,0.1456,0,0.8161,0.1508,239.1,-2.8193,1
BANG,PWM,5,0,5.36,117.25,71.04,0.1651,0.2514,0.1261,0,0.856,0.1394,240.03,-2.3434,1
TILA,BWM,13,2,176.68,149.57,107.56,0.0783,0.2319,0.157,0.0063,1.1154,0.0153,220.09,-2.4702,1
TILA,CFM,24,2,1.55,147.61,125.55,0.08,0.299,0.1178,0.0054,1.3051,0.0183,227.52,2.9884,1
TILA,CFM,30,2,179.1,140.25,147.04,0.0021,0.267,0.2,0.0057,1.3214,0.0084,237.05,-1.7135,1
TILA,CFM,33,2,1.79,140.92,99.6,0.0706,0.2123,0.0853,0.0028,1.1075,0.0092,220.14,5.6347,1
TILA,PWM,2,2,5.61,132.05,100.61,0.1009,0.2024,0.0632,0.002,1.1313,0.0055,234.87,-0.4455,1
TILA,PWM,12,2,4.34,147.8,78.25,0.1659,0.2044,0.0241,0.0006,1.5162,0.0081,235.31,-0.7484,1
TILA,PWM,24,2,6.73,158.67,80.35,0.2261,0.1764,-0.0518,0,1.3674,0.0073,232.9,-0.0387,1
TILA,PWM,25,2,5.37,141.97,126.73,0.0452,0.219,0.0967,0,1.5815,0.0088,237.83,-2.9851,1
TILA,PWM,26,2,4.89,118.92,117.25,0.1059,0.2571,0.0885,0,1.0571,0.0109,231.22,-3.409,1
TILA,PWM,29,2,6.19,167.35,96.59,0.0829,0.159,0.1554,0.0021,1.2832,0.0084,228.74,0.7093,1
TILA,PWM,31,2,7.58,165.02,105.09,0.2701,0.2108,0.0186,0,1.3887,0.0121,233.03,-3.7724,1
BANG,CFM,15,0,2.59,180.77,95.65,0,0.0979,0.1452,0.0005,1.2837,0.0072,232.03,0.1554,2
BANG,CFM,37,0,178.24,156.49,71.97,0,0.1177,0.0751,0.0001,0.9938,0.0107,222.52,4.8394,2
BANG,PWM,4,0,7.07,117.47,67.05,0.2556,0.2383,0.0373,0,0.8446,0.1259,240.19,-5.0463,2
BANG,PWM,21,0,8.41,169.17,79.45,0.3792,0.2024,0.0973,0,0.8175,0.1084,238.95,-2.5776,2
BANG,PWM,51,0,8.98,169.01,83.51,0.3404,0.1651,-0.0094,0,0.7114,0.0177,229.29,-5.3107,2
CARP,PWM,9,1,8.61,158.99,95.12,0.1874,0.1742,0.1163,0,0.9286,0.0394,231.46,-1.4731,2
TILA,BWM,18,2,178.89,123.2,132.04,0.0064,0.291,0.1507,0.005,1.1579,0.0138,217.45,-2.7721,2
TILA,BWM,25,2,1.45,147.85,104.62,0.037,0.2399,0.2079,0.006,1.3088,0.0148,229.33,1.9809,2
TILA,CFM,52,2,177.48,144.77,108.28,0.0006,0.1871,0.1683,0.0056,1.3948,0.0102,238.69,5.4385,2
TILA,PWM,23,2,6.97,153.4,107.27,0.2205,0.214,0.0501,0,1.2111,0.0063,235.93,-0.483,2
BANG,BWM,27,0,5.01,158.32,99.54,0.0913,0.2334,0.0356,0,0.9324,0.0196,223.15,-2.0217,2
BANG,BWM,29,0,5.71,158.47,92.77,0.0711,0.2085,0.0249,0,1.0452,0.0378,227.21,-2.6036,2
BANG,CFM,39,0,177.37,132.94,85.02,0,0.1559,0.0732,0,0.9446,0.0328,225.93,4.9959,2
BANG,PWM,22,0,5.05,145.67,61.84,0.0348,0.1368,0.0042,0,0.9698,0.014,225.58,-0.6959,2
BANG,PWM,30,0,3.35,129.22,61.65,0.1708,0.2255,0.0009,0,1.2721,0.0945,233.94,-2.0571,2
CARP,NFP,22,1,3.3,133.68,133.02,0.0219,0.2627,0.0633,0,0.9357,0.032,226.78,5.504,2
TILA,BWM,16,2,173.14,124.93,117.62,0.002,0.336,0.079,0.0024,1.0019,0.0128,221.69,0.8214,2
TILA,BWM,30,2,179.6,139.79,131.13,0.0002,0.2586,0.2844,0.0097,1.277,0.0228,221.29,-4.1964,2
TILA,NFP,14,2,0.72,124.87,118.9,0.0682,0.2726,0.3919,0.0203,0.7284,0.0021,247.67,-25.7577,2
BANG,BWM,8,0,7.06,166.68,69,0.1803,0.265,-0.0045,0,1.0669,0.0085,227.97,-10.1041,2
BANG,BWM,25,0,6.82,187.92,88.28,0.2981,0.3626,0.0395,0,0.8024,0.0331,226.12,-2.2828,2
BANG,CFM,10,0,2.82,158.39,98.63,0.023,0.2289,0.4123,0.004,0.7007,0.0956,235.33,0.7699,2
BANG,CFM,13,0,2.09,144.73,73.84,0.0059,0.2326,0.2307,0.002,0.7678,0.0907,236.11,2.3861,2
BANG,PWM,31,0,7.06,135.61,81.95,0.2677,0.1802,0.1982,0.0013,0.6021,0.0975,243.6,-3.2458,2
BANG,PWM,53,0,7.59,206.33,71.43,0.0744,0.174,0.3129,0.0045,0.737,0.0394,237.58,-6.229,2
CARP,NFP,15,1,1.76,148.1,154.54,0.0288,0.336,0.3693,0.0082,0.8891,0.0751,230.52,3.9722,2
CARP,PWM,5,1,7.44,152.83,87.52,0.1893,0.2433,0.1369,0,0.8456,0.0353,229.35,2.4553,2
TILA,BWM,19,2,176.59,132.06,139.9,0.0001,0.1685,0.4233,0.0172,0.9782,0.0418,228.08,0.244,2
TILA,CFM,56,2,176.13,152.22,75.33,0.0026,0.2232,0.5346,0.0218,0.914,0.0166,245.7,14.2456,2
TILA,NFP,12,2,2.46,158.75,127.41,0.1778,0.392,0.4092,0.0008,1.2309,0.0021,238.97,-13.2208,2
BANG,CFM,18,0,4.61,159.21,118.7,0.0036,0.2394,0.0533,0.0009,1.1233,0.0311,231.45,-1.9481,2
BANG,PWM,27,0,7.39,145.64,74.35,0.1874,0.2056,0.0694,0,0.9762,0.0504,233.69,-6.8929,2
BANG,PWM,32,0,8.54,153.38,82.58,0.2821,0.21,0.0895,0,0.778,0.0606,231.98,-3.7657,2
CARP,NFP,7,1,3.41,166.21,101.8,0.0135,0.2488,0.4081,0.0174,0.7831,0.0334,230.32,-1.5104,2
TILA,CFM,14,2,178.15,121.19,115.39,0.0034,0.2166,0.1679,0.005,0.9828,0.0045,220.89,5.2531,2
TILA,CFM,16,2,177.73,137.25,113.97,0.024,0.2804,0.2913,0.009,1.1141,0.0101,243.23,2.6943,2
TILA,CFM,17,2,0.27,135.94,102.6,0.0273,0.308,0.258,0.0088,1.1922,0.012,230.77,0.9106,2
TILA,CFM,23,2,1.64,141.42,110.24,0.0898,0.2604,0.1354,0.0062,1.3996,0.0115,231.86,12.6021,2
TILA,CFM,53,2,179.27,149.48,99.63,0.0006,0.1864,0.3295,0.0087,1.5898,0.0097,238.62,-3.9241,2
TILA,NFP,13,2,0.51,137.46,118.11,0.0839,0.2708,0.7765,0.0323,0.8557,0.0048,232.42,-23.71,2
TILA,PWM,14,2,5.46,152.94,83.52,0.2145,0.2147,0.1137,0.0047,1.1628,0.0054,230.26,-2.9606,2
BANG,BWM,2,0,7.67,151.72,96.54,0.293,0.2543,0.0066,0,1.0628,0.0205,238.88,-12.9076,2
BANG,CFM,32,0,177.64,129.75,79.48,0,0.2243,0.0539,0.0017,0.9225,0.0444,234.62,6.6965,2
BANG,PWM,50,0,10.34,185.25,103.91,0.3081,0.2482,-0.0205,0,0.9581,0.0079,226.5,-7.9178,2
CARP,NFP,11,1,178.55,131.73,118.09,0,0.2621,0.434,0.0184,0.6162,0.0369,230.92,1.631,2
CARP,PWM,6,1,2.37,157.72,81.9,0.0076,0.2606,0.383,0.0174,0.7069,0.0339,229.39,2.7459,2
TILA,BWM,17,2,174.87,143.79,120.53,0,0.2263,0.2273,0.0072,1.013,0.0098,216.31,0.9298,2
BANG,BWM,26,0,7.61,154.26,77.78,0.1604,0.2501,0.0103,0,0.8617,0.0178,218.63,-0.137,2
BANG,BWM,31,0,7.27,163.7,94.41,0.2151,0.2433,0.072,0,1.094,0.0688,234.08,-2.2459,2
BANG,CFM,11,0,1.59,136.42,82.39,0.0241,0.2825,0.1759,0.0009,0.9831,0.0606,235.07,2.4556,2
BANG,PWM,8,0,9.99,150.72,67.51,0.4753,0.2537,0.0121,0,0.7771,0.0945,239.89,-1.3563,2
TILA,NFP,15,2,178.91,126.87,129.16,0.0779,0.2512,0.3292,0.0165,0.8267,0.0013,230.13,-22.1052,2
BANG,CFM,6,0,3.41,144.59,73.99,0.0293,0.2176,0.2093,0.0047,0.7521,0.0309,229.72,-6.7121,2
BANG,CFM,19,0,10.24,191.64,86.6,0.4646,0.1832,-0.018,0,1.1529,0.033,242.51,-1.9919,2
TILA,PWM,8,2,5.94,136.82,83.2,0.3259,0.2318,0.0544,0.0014,1.2323,0.0104,228.71,-0.9492,2
BANG,PWM,15,0,11.91,121.71,75.44,0.7245,0.2157,0.008,0,0.5086,0.081,241.28,-1.7852,2
TILA,PWM,28,2,9.21,171.56,108.2,0.376,0.2037,0.0724,0,1.4993,0.0071,233.55,-2.0889,2
BANG,BWM,6,0,7.93,166.91,102.48,0.2268,0.1959,0.2626,0.0056,0.7378,0.0325,236.17,-10.9401,2
BANG,BWM,7,0,7.34,167.47,82.74,0.3162,0.27,0.6023,0.0224,0.5855,0.0172,238.54,-9.7615,2
BANG,CFM,25,0,1.95,140.76,107.66,0.0167,0.2928,0.1858,0.0031,0.8268,0.0146,237.63,-0.0953,2
BANG,NFP,1,0,8.89,119.88,41.49,0.48,0.1627,0.0174,0,0.7736,0.1091,236.2,-0.449,2
BANG,PWM,14,0,12.7,122.45,84.7,0.8278,0.2172,0.0869,0,0.6744,0.1337,241.79,-1.2121,2
BANG,NFP,4,0,11.04,113.37,114.46,0.8329,0.122,-0.0074,0,0.8617,0.1291,236.2,-3.7062,2
TILA,PWM,10,2,9.3,147.52,89.5,0.4734,0.266,0.1888,0.0033,0.6172,0.0096,229.07,1.0206,2
BANG,CFM,2,0,6.31,110.28,82.47,0.2482,0.3323,0.078,0,0.9126,0.0896,232.94,1.5332,2
BANG,PWM,10,0,12.72,124.86,70.52,0.8041,0.2181,0.1229,0,0.7015,0.104,243.87,-1.2402,2
BANG,BWM,24,0,9.18,168.85,112.74,0.5217,0.3111,0.0319,0,0.8306,0.0226,222.9,-1.7355,2
BANG,PWM,23,0,8.51,169.14,77.01,0.3415,0.1554,0.2291,0.0018,0.9968,0.0266,238.78,-8.1273,2
BANG,PWM,19,0,10.94,148.21,102.72,0.7477,0.2539,0.2477,0.0025,0.6873,0.1269,238.94,-2.1393,2
BANG,BWM,22,0,9.35,167.35,107.63,0.5881,0.3456,0.1005,0,0.9032,0.0281,225.73,0.2048,2
BANG,PWM,28,0,9.12,107.8,123.59,0.571,0.1838,0.0551,0,0.9783,0.0432,235.88,-2.5032,2
BANG,PWM,54,0,13.18,21.79,135.64,0.9903,0.2229,0.012,0,0.903,0.0107,239.69,-6.5619,2
CARP,PWM,3,1,10.03,136.45,109.87,0.3826,0.2594,0.5252,0.0223,0.7701,0.0511,234.04,0.2065,2
BANG,PWM,26,0,14.09,53.22,91.03,0.9808,0.1929,0.1334,0.0003,0.928,0.0501,235.85,-3.5426,2
